Time,co2,temp,hum,lux,rad
103200,409,16.53789265,59.21747086,0,0
103500,409,16.53360365,59.3029092,0,0
103800,409,16.52939194,59.36974402,0,0
104100,409,16.51922971,59.43435366,0,0
104400,409,16.51459296,59.4984202,0,0
104700,409,16.50984029,59.53725438,0,0
105000,409,16.50021902,59.57720463,0,0
105300,409.7272727,16.49113871,59.60131937,0,0
105600,410,16.48352671,59.63866255,0,0
105900,410,16.47286218,59.6816355,0,0
106200,410,16.46544338,59.70865142,0,0
106500,410,16.46034295,59.73472299,0,0
106800,410,16.45118537,59.75574862,0,0
107100,410,16.45292415,59.75207898,0,0
107400,410,16.4575609,59.74863313,0,0
107700,410,16.4668344,59.71479127,0,0
108000,410,16.47966275,59.6763944,0,0
108300,410.1666667,16.49094552,59.63142548,0,0
108600,411.6363636,16.50856518,59.57756041,0,0
108900,413.1818182,16.52433014,59.51710604,0,0
109200,415.1666667,16.53777673,59.47927347,0,0
109500,412.6363636,16.42100792,58.29097718,0,0
109800,409,16.28924699,58.361315,0,0
110100,408,16.36405313,59.00612969,0,0
110400,408,16.41907587,59.01256227,0,0
110700,408.4545455,16.46138622,58.76703132,0,0
111000,408.8333333,16.49001817,58.59819488,0,0
111300,408,16.50686504,58.53103095,0,0
111600,408,16.51320193,58.50406094,0,0
111900,408,16.51412928,58.48334312,0,0
112200,408,16.50473986,58.48684239,0,0
112500,408,16.49558227,58.49364311,0,0
112800,408,16.48136289,58.51038218,0,0
113100,408,16.46961645,58.52740111,0,0
113400,407.2727273,16.45458565,58.54768675,0,0
113700,407,16.44411432,58.57535008,0,0
114000,407,16.4312087,58.59070928,0,0
114300,407,16.41814852,58.61365363,0,0
114600,407,16.40841135,58.63092662,0,0
114900,407,16.39380559,58.64700631,0,0
115200,406.5833333,16.38198189,58.65654741,0,0
115500,406,16.36872852,58.66256384,0,0
115800,406,16.3578708,58.67366624,0,0
116100,406,16.34832683,58.67879698,0,0
116400,406,16.33932382,58.67889107,0,0
116700,406,16.33047536,58.69050587,0,0
117000,405.3636364,16.31845847,58.68704554,0,0
117300,405,16.31335805,58.6954153,0,0
117600,405,16.30157299,58.70449042,0,0
117900,405,16.29481108,58.72341036,0,0
118200,404.9090909,16.28712181,58.72191896,0,0
118500,404,16.27950983,58.72928656,0,0
118800,404,16.27023634,58.74100524,0,0
119100,404,16.26289483,58.74956529,0,0
119400,404,16.25354407,58.77262213,0,0
119700,404,16.24121807,58.77686169,0,0
120000,403.75,16.23592446,58.78850832,0,0
120300,403,16.22931711,58.80692447,0,0
120600,403,16.22479629,58.82543631,0,0
120900,403,16.2144409,58.83592031,0,0
121200,403,16.20903137,58.82723835,0,0
121500,403,16.20253994,58.83857502,0,0
121800,402.3636364,16.19446429,58.85122918,0,0
122100,402,16.18770238,58.84345449,0,0
122400,402,16.18086319,58.84318055,0,0
122700,402,16.17657421,58.829281,0,0
123000,402,16.17958809,58.7828349,0,0
123300,402,16.19187544,58.73183878,0,0
123600,402,16.1997579,58.62544604,0,0
123900,401.3636364,16.21911628,58.44792706,0,0
124200,401,16.23917018,58.28315057,0,0
124500,401,16.25566925,58.16196914,0,0
124800,401,16.27023634,58.06894649,0,0
125100,401,16.28712181,57.97036544,0,0
125400,401,16.29944782,57.87790075,0,0
125700,401,16.31007369,57.82011304,0,0
126000,400.75,16.32309521,57.75339867,0,0
126300,400,16.32912298,57.70658192,0,0
126600,400,16.32835019,57.67334711,0,0
126900,400,16.32634093,57.68216123,0,0
127200,400,16.31772432,57.68123783,0,0
127500,400,16.30825763,57.72035296,0,0
127800,400,16.29349733,57.76324195,0,0
128100,400,16.27672778,57.81919971,0,0
128400,400,16.2611947,57.88153301,0,0
128700,400,16.24519794,57.92966924,0,0
129000,400,16.23128772,57.97662823,0,0
129300,400,16.22166649,58.02453252,0,0
129600,400,16.20764035,58.07831091,0,0
129900,400,16.20126484,58.14144987,0,0
130200,400,16.19048442,58.19038967,0,0
130500,400,16.18298836,58.24453334,0,0
130800,400,16.17750156,58.3021376,0,0
131100,400,16.17533775,58.34483694,2.726363636,0.021538273
131400,400,16.17750156,58.34565125,3.33,0.026307
131700,400,16.16822808,58.42163162,3.33,0.026307
132000,400,16.16131162,58.48194684,3.33,0.026307
132300,400,16.15849094,58.53198962,3.33,0.026307
132600,400,16.15323597,58.5882436,3.33,0.026307
132900,400,16.13762563,58.64486399,1.818181818,0.014363636
133200,400,16.10180686,58.73844571,0,0
133500,400,16.07549341,58.80235587,0,0
133800,400,16.04674568,58.81822366,0,0
134100,400,16.02615087,58.83278039,0,0
134400,400,16.0087245,58.82101711,0,0
134700,400,15.9921482,58.82147246,0,0
135000,400,15.97673108,58.80638979,0.83,0.006557
